
Algorithm,MergeSort
Average Comparisons,4.67

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,4,"[1, 2, 3, 4]"
2,4,"[1, 2, 4, 3]"
3,4,"[2, 1, 3, 4]"
4,4,"[2, 1, 4, 3]"
5,4,"[3, 4, 1, 2]"
6,4,"[3, 4, 2, 1]"
7,4,"[4, 3, 1, 2]"
8,4,"[4, 3, 2, 1]"
9,5,"[1, 3, 2, 4]"
10,5,"[1, 3, 4, 2]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,5,"[4, 2, 3, 1]"
2,5,"[4, 2, 1, 3]"
3,5,"[4, 1, 3, 2]"
4,5,"[4, 1, 2, 3]"
5,5,"[3, 2, 4, 1]"
6,5,"[3, 2, 1, 4]"
7,5,"[3, 1, 4, 2]"
8,5,"[3, 1, 2, 4]"
9,5,"[2, 4, 3, 1]"
10,5,"[2, 4, 1, 3]"

Algorithm,QuickSort
Average Comparisons,4.83

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,4,"[1, 2, 3, 4]"
2,4,"[1, 2, 4, 3]"
3,4,"[1, 3, 2, 4]"
4,4,"[1, 3, 4, 2]"
5,4,"[2, 3, 1, 4]"
6,4,"[2, 3, 4, 1]"
7,4,"[3, 2, 1, 4]"
8,4,"[3, 2, 4, 1]"
9,4,"[4, 2, 1, 3]"
10,4,"[4, 2, 3, 1]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,6,"[4, 1, 2, 3]"
2,6,"[3, 4, 2, 1]"
3,6,"[3, 1, 4, 2]"
4,6,"[3, 1, 2, 4]"
5,6,"[2, 4, 3, 1]"
6,6,"[2, 4, 1, 3]"
7,6,"[2, 1, 4, 3]"
8,6,"[1, 4, 2, 3]"
9,5,"[4, 1, 3, 2]"
10,5,"[3, 4, 1, 2]"

Algorithm,ShakerSort
Average Comparisons,5.58

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,3,"[1, 2, 3, 4]"
2,5,"[1, 2, 4, 3]"
3,5,"[1, 3, 2, 4]"
4,5,"[1, 4, 2, 3]"
5,5,"[2, 1, 3, 4]"
6,5,"[2, 1, 4, 3]"
7,5,"[3, 1, 2, 4]"
8,5,"[4, 1, 2, 3]"
9,6,"[1, 3, 4, 2]"
10,6,"[1, 4, 3, 2]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,6,"[4, 3, 2, 1]"
2,6,"[4, 3, 1, 2]"
3,6,"[4, 2, 3, 1]"
4,6,"[4, 2, 1, 3]"
5,6,"[4, 1, 3, 2]"
6,6,"[3, 4, 2, 1]"
7,6,"[3, 4, 1, 2]"
8,6,"[3, 2, 4, 1]"
9,6,"[3, 2, 1, 4]"
10,6,"[3, 1, 4, 2]"

Algorithm,HeapSort
Average Comparisons,6.5

Best 10 (fewest comparisons)
Rank,Comparisons,Input_Array
1,6,"[1, 2, 4, 3]"
2,6,"[1, 3, 4, 2]"
3,6,"[2, 1, 4, 3]"
4,6,"[2, 3, 4, 1]"
5,6,"[3, 1, 4, 2]"
6,6,"[3, 2, 4, 1]"
7,6,"[4, 1, 2, 3]"
8,6,"[4, 1, 3, 2]"
9,6,"[4, 2, 1, 3]"
10,6,"[4, 2, 3, 1]"

Worst 10 (most comparisons)
Rank,Comparisons,Input_Array
1,7,"[3, 4, 2, 1]"
2,7,"[3, 4, 1, 2]"
3,7,"[3, 2, 1, 4]"
4,7,"[3, 1, 2, 4]"
5,7,"[2, 4, 3, 1]"
6,7,"[2, 4, 1, 3]"
7,7,"[2, 3, 1, 4]"
8,7,"[2, 1, 3, 4]"
9,7,"[1, 4, 3, 2]"
10,7,"[1, 4, 2, 3]"
